ID,Total_Clients,Text_Clients,Image_Clients,Config,Avg_Response_Time
1,40,0,40,0,15.312847436689314
2,40,10,30,22,4.715251487290427
3,40,20,20,22,5.240635301168714
4,40,30,10,15,914.6804619826756
5,40,40,0,22,4.603533159571387
6,50,0,50,18,31.559768637532134
7,50,15,35,7,12.942540322580646
8,50,25,25,22,5.167004341534009
9,50,35,15,22,5.243123089747152
10,50,50,0,22,5.207120655552416
11,60,0,60,22,5.011823436678928
12,60,15,45,1,5.754141467262687
13,60,30,30,22,5.257694314032342
14,60,45,15,19,38.72538440787699
15,60,60,0,22,4.846327400350965
16,70,0,70,41,1726.989010989011
17,70,20,50,16,42.51987163663293
18,70,35,35,30,6.108854166666666
19,70,50,20,22,5.102454909819639
20,70,70,0,31,7.1847910718920325
21,80,0,80,30,5.6564252621311875
22,80,20,60,16,38.26537216828479
23,80,40,40,11,27.171264367816093
24,80,60,20,10,32.05898810911634
25,80,80,0,41,63.23147616312464
26,90,0,90,36,18864.57627118644
27,90,25,65,16,46.40123018689378
28,90,45,45,7,10.143504531722055
29,90,65,25,22,5.381845952432904
30,90,90,0,23,6.113244599607244
31,100,0,100,11,19.191339590443686
32,100,25,75,16,47.73970311519967
33,100,40,60,19,30.243138102442188
34,100,60,40,22,4.763922518159807
35,100,75,25,1,6.551172474249397
36,100,100,0,22,5.726972325485336
